n_code,year,r,w,age,yob,name,name_if_family,individual,yearofdeath,new,deceased,educ_yrs,self_made,ug_attend,ug_sub,ug_name,ug_dropped,ug_ivy,master,mas_sub,master_name,master_dropped,master_ivy,master2,mas2_sub,master2_name,master2_dropped,master2_ivy,phd,phd_sub,phd_name,phd_dropped,phd_ivy,honoraryphd,source_code,graduate,dr,newyr
1,2004,340,.89999998,80,1924,A Alfred Taubman,,1,2015,0,1,15,1,1,Architecture,University of Michigan,1,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Retail,0,,
1,2015,,,91,1924,A Alfred Taubman,,1,2015,0,1,15,1,1,Architecture,University of Michigan,1,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Retail,0,,0
1,2006,278,1.4,82,1924,A Alfred Taubman,,1,2015,0,1,15,1,1,Architecture,University of Michigan,1,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Retail,0,-42,0
1,2011,159,2.5,87,1924,A Alfred Taubman,,1,2015,0,1,15,1,1,Architecture,University of Michigan,1,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Retail,0,-23,0
1,2005,320,1.1,81,1924,A Alfred Taubman,,1,2015,0,1,15,1,1,Architecture,University of Michigan,1,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Retail,0,-20,0
1,2009,277,1.4,85,1924,A Alfred Taubman,,1,2015,0,1,15,1,1,Architecture,University of Michigan,1,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Retail,0,31,0
1,2010,182,2,86,1924,A Alfred Taubman,,1,2015,0,1,15,1,1,Architecture,University of Michigan,1,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Retail,0,-95,0
1,2014,214,2.9000001,90,1924,A Alfred Taubman,,1,2015,0,1,15,1,1,Architecture,University of Michigan,1,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Retail,0,13,0
1,2008,246,1.9,84,1924,A Alfred Taubman,,1,2015,0,1,15,1,1,Architecture,University of Michigan,1,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Retail,0,-25,0
1,2012,142,2.9000001,88,1924,A Alfred Taubman,,1,2015,0,1,15,1,1,Architecture,University of Michigan,1,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Retail,0,-17,0
1,2007,271,1.8,83,1924,A Alfred Taubman,,1,2015,0,1,15,1,1,Architecture,University of Michigan,1,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Retail,0,-7,0
1,2013,201,2.7,89,1924,A Alfred Taubman,,1,2015,0,1,15,1,1,Architecture,University of Michigan,1,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Retail,0,59,0
2,2013,352,1.5,85,1928,A James Clark,,1,2015,1,1,16,1,1,Engineering,University of Maryland,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Real_Estate_and_Construction,0,24,0
2,2006,,,78,1928,A James Clark,,1,2015,1,1,16,1,1,Engineering,University of Maryland,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Real_Estate_and_Construction,0,,0
2,2012,328,1.4,84,1928,A James Clark,,1,2015,1,1,16,1,1,Engineering,University of Maryland,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Real_Estate_and_Construction,0,86,0
2,2010,332,1.2,82,1928,A James Clark,,1,2015,1,1,16,1,1,Engineering,University of Maryland,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Real_Estate_and_Construction,0,-15,0
2,2004,,,76,1928,A James Clark,,1,2015,1,1,16,1,1,Engineering,University of Maryland,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Real_Estate_and_Construction,0,,
2,2014,,,86,1928,A James Clark,,1,2015,1,1,16,1,1,Engineering,University of Maryland,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Real_Estate_and_Construction,0,,0
2,2007,,,79,1928,A James Clark,,1,2015,1,1,16,1,1,Engineering,University of Maryland,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Real_Estate_and_Construction,0,,0
2,2011,242,1.8,83,1928,A James Clark,,1,2015,1,1,16,1,1,Engineering,University of Maryland,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Real_Estate_and_Construction,0,-90,0
2,2008,321,1.5,80,1928,A James Clark,,1,2015,1,1,16,1,1,Engineering,University of Maryland,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Real_Estate_and_Construction,0,,1
2,2015,,,87,1928,A James Clark,,1,2015,1,1,16,1,1,Engineering,University of Maryland,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Real_Estate_and_Construction,0,,0
2,2009,347,1.1,81,1928,A James Clark,,1,2015,1,1,16,1,1,Engineering,University of Maryland,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Real_Estate_and_Construction,0,26,0
2,2005,,,77,1928,A James Clark,,1,2015,1,1,16,1,1,Engineering,University of Maryland,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Real_Estate_and_Construction,0,,0
3,2010,164,2.2,79,1931,A Jerrold Perenchio,,1,,0,0,16,1,1,Business,University of Caifornia at Los Angeles,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,10,0
3,2013,222,2.5,82,1931,A Jerrold Perenchio,,1,,0,0,16,1,1,Business,University of Caifornia at Los Angeles,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,32,0
3,2015,246,2.7,84,1931,A Jerrold Perenchio,,1,,0,0,16,1,1,Business,University of Caifornia at Los Angeles,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,21,0
3,2008,131,3.0999999,77,1931,A Jerrold Perenchio,,1,,0,0,16,1,1,Business,University of Caifornia at Los Angeles,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,17,0
3,2014,225,2.7,83,1931,A Jerrold Perenchio,,1,,0,0,16,1,1,Business,University of Caifornia at Los Angeles,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,3,0
3,2012,190,2.4000001,81,1931,A Jerrold Perenchio,,1,,0,0,16,1,1,Business,University of Caifornia at Los Angeles,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,19,0
3,2011,171,2.3,80,1931,A Jerrold Perenchio,,1,,0,0,16,1,1,Business,University of Caifornia at Los Angeles,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,7,0
3,2009,154,2.0999999,78,1931,A Jerrold Perenchio,,1,,0,0,16,1,1,Business,University of Caifornia at Los Angeles,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,23,0
3,2005,89,2.5999999,74,1931,A Jerrold Perenchio,,1,,0,0,16,1,1,Business,University of Caifornia at Los Angeles,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,17,0
3,2007,114,3.0999999,76,1931,A Jerrold Perenchio,,1,,0,0,16,1,1,Business,University of Caifornia at Los Angeles,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,29,0
3,2006,85,3,75,1931,A Jerrold Perenchio,,1,,0,0,16,1,1,Business,University of Caifornia at Los Angeles,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,-4,0
3,2004,72,2.7,73,1931,A Jerrold Perenchio,,1,,0,0,16,1,1,Business,University of Caifornia at Los Angeles,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,,
4,2005,12,12.5,43,1962,Abigail Johnson,,1,,0,0,18,1,1,Business,Hobart and William Smith,0,0,1,Business,Harvard Business School,0,1,0,,,0,0,0,,,0,0,0,Finance,1,0,0
4,2008,15,15,46,1962,Abigail Johnson,,1,,0,0,18,1,1,Business,Hobart and William Smith,0,0,1,Business,Harvard Business School,0,1,0,,,0,0,0,,,0,0,0,Finance,1,-2,0
4,2015,31,14.2,53,1962,Abigail Johnson,,1,,0,0,18,1,1,Business,Hobart and William Smith,0,0,1,Business,Harvard Business School,0,1,0,,,0,0,0,,,0,0,0,Finance,1,-5,0
4,2004,12,12,42,1962,Abigail Johnson,,1,,0,0,18,1,1,Business,Hobart and William Smith,0,0,1,Business,Harvard Business School,0,1,0,,,0,0,0,,,0,0,0,Finance,1,,
4,2013,23,17.200001,51,1962,Abigail Johnson,,1,,0,0,18,1,1,Business,Hobart and William Smith,0,0,1,Business,Harvard Business School,0,1,0,,,0,0,0,,,0,0,0,Finance,1,-4,0
4,2009,17,11.5,47,1962,Abigail Johnson,,1,,0,0,18,1,1,Business,Hobart and William Smith,0,0,1,Business,Harvard Business School,0,1,0,,,0,0,0,,,0,0,0,Finance,1,2,0
4,2011,29,11.7,49,1962,Abigail Johnson,,1,,0,0,18,1,1,Business,Hobart and William Smith,0,0,1,Business,Harvard Business School,0,1,0,,,0,0,0,,,0,0,0,Finance,1,7,0
4,2014,36,13.3,52,1962,Abigail Johnson,,1,,0,0,18,1,1,Business,Hobart and William Smith,0,0,1,Business,Harvard Business School,0,1,0,,,0,0,0,,,0,0,0,Finance,1,13,0
4,2006,16,13,44,1962,Abigail Johnson,,1,,0,0,18,1,1,Business,Hobart and William Smith,0,0,1,Business,Harvard Business School,0,1,0,,,0,0,0,,,0,0,0,Finance,1,4,0
4,2007,17,15,45,1962,Abigail Johnson,,1,,0,0,18,1,1,Business,Hobart and William Smith,0,0,1,Business,Harvard Business School,0,1,0,,,0,0,0,,,0,0,0,Finance,1,1,0
4,2012,27,11.8,50,1962,Abigail Johnson,,1,,0,0,18,1,1,Business,Hobart and William Smith,0,0,1,Business,Harvard Business School,0,1,0,,,0,0,0,,,0,0,0,Finance,1,-2,0
4,2010,22,11.3,48,1962,Abigail Johnson,,1,,0,0,18,1,1,Business,Hobart and William Smith,0,0,1,Business,Harvard Business School,0,1,0,,,0,0,0,,,0,0,0,Finance,1,5,0
5,2013,,,42,1971,Aerin Lauder Zinterhofer,,1,,1,0,18,0,1,,University of Pennsylvania,0,1,1,Communications,University of Pennsylvania,0,1,0,,,0,0,0,,,0,0,0,Production_Industry,1,,0
5,2011,,,40,1971,Aerin Lauder Zinterhofer,,1,,1,0,18,0,1,,University of Pennsylvania,0,1,1,Communications,University of Pennsylvania,0,1,0,,,0,0,0,,,0,0,0,Production_Industry,1,,0
5,2004,,,33,1971,Aerin Lauder Zinterhofer,,1,,1,0,18,0,1,,University of Pennsylvania,0,1,1,Communications,University of Pennsylvania,0,1,0,,,0,0,0,,,0,0,0,Production_Industry,1,,
5,2012,,,41,1971,Aerin Lauder Zinterhofer,,1,,1,0,18,0,1,,University of Pennsylvania,0,1,1,Communications,University of Pennsylvania,0,1,0,,,0,0,0,,,0,0,0,Production_Industry,1,,0
5,2015,375,1.8,44,1971,Aerin Lauder Zinterhofer,,1,,1,0,18,0,1,,University of Pennsylvania,0,1,1,Communications,University of Pennsylvania,0,1,0,,,0,0,0,,,0,0,0,Production_Industry,1,,1
5,2007,,,36,1971,Aerin Lauder Zinterhofer,,1,,1,0,18,0,1,,University of Pennsylvania,0,1,1,Communications,University of Pennsylvania,0,1,0,,,0,0,0,,,0,0,0,Production_Industry,1,,0
5,2010,,,39,1971,Aerin Lauder Zinterhofer,,1,,1,0,18,0,1,,University of Pennsylvania,0,1,1,Communications,University of Pennsylvania,0,1,0,,,0,0,0,,,0,0,0,Production_Industry,1,,0
5,2006,,,35,1971,Aerin Lauder Zinterhofer,,1,,1,0,18,0,1,,University of Pennsylvania,0,1,1,Communications,University of Pennsylvania,0,1,0,,,0,0,0,,,0,0,0,Production_Industry,1,,0
5,2009,,,38,1971,Aerin Lauder Zinterhofer,,1,,1,0,18,0,1,,University of Pennsylvania,0,1,1,Communications,University of Pennsylvania,0,1,0,,,0,0,0,,,0,0,0,Production_Industry,1,,0
5,2005,,,34,1971,Aerin Lauder Zinterhofer,,1,,1,0,18,0,1,,University of Pennsylvania,0,1,1,Communications,University of Pennsylvania,0,1,0,,,0,0,0,,,0,0,0,Production_Industry,1,,0
5,2014,,,43,1971,Aerin Lauder Zinterhofer,,1,,1,0,18,0,1,,University of Pennsylvania,0,1,1,Communications,University of Pennsylvania,0,1,0,,,0,0,0,,,0,0,0,Production_Industry,1,,0
5,2008,,,37,1971,Aerin Lauder Zinterhofer,,1,,1,0,18,0,1,,University of Pennsylvania,0,1,1,Communications,University of Pennsylvania,0,1,0,,,0,0,0,,,0,0,0,Production_Industry,1,,0
6,2012,,,42,1970,Alan Auerbach,,1,,1,0,18,1,1,,Boston University,0,0,1,Science,University of Southern California,0,0,0,,,0,0,0,,,0,0,0,Healthcare_and_Medicine,1,,0
6,2013,,,43,1970,Alan Auerbach,,1,,1,0,18,1,1,,Boston University,0,0,1,Science,University of Southern California,0,0,0,,,0,0,0,,,0,0,0,Healthcare_and_Medicine,1,,0
6,2005,,,35,1970,Alan Auerbach,,1,,1,0,18,1,1,,Boston University,0,0,1,Science,University of Southern California,0,0,0,,,0,0,0,,,0,0,0,Healthcare_and_Medicine,1,,0
6,2010,,,40,1970,Alan Auerbach,,1,,1,0,18,1,1,,Boston University,0,0,1,Science,University of Southern California,0,0,0,,,0,0,0,,,0,0,0,Healthcare_and_Medicine,1,,0
6,2014,395,1.55,44,1970,Alan Auerbach,,1,,1,0,18,1,1,,Boston University,0,0,1,Science,University of Southern California,0,0,0,,,0,0,0,,,0,0,0,Healthcare_and_Medicine,1,,1
6,2008,,,38,1970,Alan Auerbach,,1,,1,0,18,1,1,,Boston University,0,0,1,Science,University of Southern California,0,0,0,,,0,0,0,,,0,0,0,Healthcare_and_Medicine,1,,0
6,2011,,,41,1970,Alan Auerbach,,1,,1,0,18,1,1,,Boston University,0,0,1,Science,University of Southern California,0,0,0,,,0,0,0,,,0,0,0,Healthcare_and_Medicine,1,,0
6,2004,,,34,1970,Alan Auerbach,,1,,1,0,18,1,1,,Boston University,0,0,1,Science,University of Southern California,0,0,0,,,0,0,0,,,0,0,0,Healthcare_and_Medicine,1,,
6,2006,,,36,1970,Alan Auerbach,,1,,1,0,18,1,1,,Boston University,0,0,1,Science,University of Southern California,0,0,0,,,0,0,0,,,0,0,0,Healthcare_and_Medicine,1,,0
6,2015,,,45,1970,Alan Auerbach,,1,,1,0,18,1,1,,Boston University,0,0,1,Science,University of Southern California,0,0,0,,,0,0,0,,,0,0,0,Healthcare_and_Medicine,1,,0
6,2007,,,37,1970,Alan Auerbach,,1,,1,0,18,1,1,,Boston University,0,0,1,Science,University of Southern California,0,0,0,,,0,0,0,,,0,0,0,Healthcare_and_Medicine,1,,0
6,2009,,,39,1970,Alan Auerbach,,1,,1,0,18,1,1,,Boston University,0,0,1,Science,University of Southern California,0,0,0,,,0,0,0,,,0,0,0,Healthcare_and_Medicine,1,,0
7,2012,347,1.3,83,1929,Alan Gerry,,1,,0,0,14,1,1,Electronics,U S Marine Corps,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,-8,0
7,2009,347,1.1,80,1929,Alan Gerry,,1,,0,0,14,1,1,Electronics,U S Marine Corps,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,46,0
7,2015,,,86,1929,Alan Gerry,,1,,0,0,14,1,1,Electronics,U S Marine Corps,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,,0
7,2006,278,1.4,77,1929,Alan Gerry,,1,,0,0,14,1,1,Electronics,U S Marine Corps,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,20,0
7,2004,234,1.2,75,1929,Alan Gerry,,1,,0,0,14,1,1,Electronics,U S Marine Corps,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,,
7,2011,355,1.25,82,1929,Alan Gerry,,1,,0,0,14,1,1,Electronics,U S Marine Corps,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,-1,0
7,2014,,,85,1929,Alan Gerry,,1,,0,0,14,1,1,Electronics,U S Marine Corps,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,,0
7,2013,386,1.3,84,1929,Alan Gerry,,1,,0,0,14,1,1,Electronics,U S Marine Corps,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,39,0
7,2010,356,1.15,81,1929,Alan Gerry,,1,,0,0,14,1,1,Electronics,U S Marine Corps,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,9,0
7,2008,301,1.6,79,1929,Alan Gerry,,1,,0,0,14,1,1,Electronics,U S Marine Corps,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,4,0
7,2005,258,1.3,76,1929,Alan Gerry,,1,,0,0,14,1,1,Electronics,U S Marine Corps,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,24,0
7,2007,297,1.6,78,1929,Alan Gerry,,1,,0,0,14,1,1,Electronics,U S Marine Corps,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,Media,0,19,0
8,2007,239,2,61,1946,Alan I Casden,,1,,1,0,18,1,1,Accounting,University of Southern California,0,0,1,Business,University of Souther California,0,0,0,,,0,0,0,,,0,0,0,Real_Estate_and_Construction,1,-3,0
8,2015,,,69,1946,Alan I Casden,,1,,1,0,18,1,1,Accounting,University of Southern California,0,0,1,Business,University of Souther California,0,0,0,,,0,0,0,,,0,0,0,Real_Estate_and_Construction,1,,0
